Marital status,Application mode,Application order,Course,Day/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Single,15,1,Veterinary Nursing,Day,Technological specialization course,3,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Student,Other Situation;,no,no,no,yes,female,no,20,yes,2,6,7,6,13.33333333,0,1,6,16,5,13.375,0,12.4,0.5,1.79,Graduate
Married,12,1,Social Service (evening attendance),Evening ,OtherÑSecondary educationSecondary educationth Yr of schooling,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,no,no,no,yes,female,no,46,no,0,6,13,3,12.33333333,0,0,6,6,6,13.33333333,0,11.1,0.6,2.02,Graduate
Single,16,1,Biofuel Production Technologies,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,female,no,26,no,14,21,23,20,13.18181818,0,10,14,18,14,11.64285714,0,8.9,1.4,3.51,Graduate
Married,12,1,Nursing,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,"Skilled Workers in Agriculture, Fisheries, and Forestry",no,no,no,yes,female,yes,34,no,0,7,7,6,12.51333333,0,0,8,9,7,13.07142857,0,12.4,0.5,1.79,Graduate
Single,9,3,Basic Education,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,19,no,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
Single,1,6,Nursing,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Student,Other Situation;,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.58571429,0,0,8,8,7,13.58571429,0,12.7,3.7,-1.7,Graduate
Single,1,1,Oral Hygiene,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,"Skilled Workers in Agriculture, Fisheries, and Forestry",yes,no,no,yes,female,no,18,no,0,7,9,7,11.15555556,0,0,8,10,8,11.425,0,12.7,3.7,-1.7,Graduate
Single,12,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,"Skilled Workers in Agriculture, Fisheries, and Forestry",no,no,no,yes,male,yes,37,no,1,7,9,6,11.85714286,0,1,6,7,5,12,0,13.9,-0.3,0.79,Graduate
Single,8,1,Animation and Multimedia Design,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,"Skilled Workers in Agriculture, Fisheries, and Forestry",no,no,no,yes,male,yes,23,no,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Graduate
Single,14,1,Communication Design,Day,Secondary education,Portuguese,Higher Education—bachelor’s degreend cycle of the general high school course,Unknown,Student,Student,no,no,no,yes,male,no,26,no,9,14,14,14,14,0,7,13,13,13,13.61538462,0,15.5,2.8,-4.06,Graduate
Single,5,2,Journalism and Communication,Day,Secondary education,Cape Verdean,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,no,female,no,18,yes,0,6,8,5,12,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
Single,6,1,Nursing,Day,Secondary education,Cuban,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,18,yes,0,7,15,4,11.575,0,0,7,10,5,12.42,0,12.4,0.5,1.79,Enrolled
Single,8,4,Nursing,Day,Secondary education,Portuguese,Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,19,no,0,7,8,7,13.19857143,0,0,8,8,8,13.0625,0,11.1,0.6,2.02,Graduate
Single,5,2,Veterinary Nursing,Day,Secondary education,Cape Verdean,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,no,no,no,yes,female,no,18,yes,0,6,10,6,13.5,0,0,6,12,6,12,0,12.4,0.5,1.79,Graduate
Single,1,1,Advertising and Marketing Management,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Information and communication technology technicians,"armers, livestock keepers, fishermen, hunters and gatherers, and subsistence",yes,no,no,yes,female,no,19,no,0,6,6,6,13.33333333,0,0,6,8,5,12.8,0,8.9,1.4,3.51,Dropout
Single,8,4,Informatics Engineering,Day,Secondary education,Romanian,Supplementary Accounting and Administration,Secondary Education—12th Year of Schooling or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,male,no,20,yes,0,5,10,4,14.25,0,0,5,14,1,10,0,8.9,1.4,3.51,Enrolled
Single,8,1,Communication Design,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,female,yes,22,no,0,6,7,6,12.16666667,0,0,6,9,4,12,0,9.4,-0.8,-3.12,Graduate
Single,1,3,Nursing,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,yes,no,no,yes,female,yes,18,no,0,8,8,7,12.21428571,0,0,8,8,7,12.21428571,0,12.7,3.7,-1.7,Graduate
Single,8,1,Tourism,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,no,no,no,yes,female,yes,18,no,0,6,8,6,12.66666667,0,0,6,6,6,13,0,13.9,-0.3,0.79,Graduate
Single,1,3,Journalism and Communication,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Armed Forces Professions,Unskilled Workers,yes,no,no,yes,female,yes,18,no,0,6,7,6,12.28571429,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
Single,1,6,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,yes,no,no,yes,female,yes,18,no,0,6,7,6,13,0,0,6,6,6,13,0,12.4,0.5,1.79,Graduate
Single,1,2,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,"Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,female,no,18,no,0,6,8,6,12.14285714,0,0,6,6,6,11.16666667,0,8.9,1.4,3.51,Graduate
Single,8,6,Nursing,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,19,no,0,7,8,7,13.87571429,0,0,8,9,7,13.08571429,0,11.1,0.6,2.02,Graduate
Single,8,1,Basic Education,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,no,no,no,yes,female,no,20,no,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
Single,8,4,Social Service,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Administrative staff,Unskilled Workers,yes,no,no,yes,female,yes,19,no,0,6,12,6,11.66666667,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
Single,1,2,Veterinary Nursing,Day,Secondary education,Portuguese,Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Administrative staff,Installation and Machine Operators and Assembly Workers,yes,no,no,yes,female,no,18,no,0,6,13,6,13.15384615,0,0,6,12,3,11,0,15.5,2.8,-4.06,Graduate
Single,1,4,Communication Design,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,female,yes,18,no,0,6,6,6,14.5,0,0,6,6,6,12.83333333,0,12.4,0.5,1.79,Dropout
Single,8,6,Nursing,Day,Secondary education,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,female,yes,18,no,0,7,7,7,14.44142857,0,0,8,8,8,13.65625,0,11.1,0.6,2.02,Graduate
Single,8,2,Journalism and Communication,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Personal Services, Security and SafetyWorkers, and Sellers",yes,no,no,yes,female,no,18,no,0,6,6,6,15.16666667,0,0,6,7,6,14.28571429,0,12.4,0.5,1.79,Graduate
Single,8,1,Management,Day,Secondary education,Portuguese,Higher Education—degree,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Specialists in Intellectual and Scientific Activities,Unskilled Workers,no,no,no,yes,female,yes,18,no,0,5,5,5,11.6,0,0,5,12,4,12.625,0,10.8,1.4,1.74,Graduate
Single,8,1,Journalism and Communication,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,yes,no,yes,yes,female,no,18,no,0,6,6,6,11.66666667,0,0,6,6,6,12.33333333,0,16.2,0.3,-0.92,Graduate
Single,15,1,Agronomy,Day,Technological specialization course,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,20,no,0,6,8,6,12.625,0,0,6,10,6,13.2,0,16.2,0.3,-0.92,Graduate
Single,7,2,Social Service,Day,Secondary education,Portuguese,General commerce course,Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling,Administrative staff,Administrative staff,yes,no,no,yes,female,yes,19,no,0,6,14,3,12.66666667,0,0,6,7,6,11,0,9.4,-0.8,-3.12,Graduate
Single,8,1,Equiniculture,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,18,no,0,6,7,6,12.83333333,1,0,6,8,6,13,0,8.9,1.4,3.51,Enrolled
Single,1,1,Social Service,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,yes,19,no,0,6,7,6,11.85714286,0,0,6,8,6,13.14285714,0,12.4,0.5,1.79,Graduate
Single,8,2,Basic Education,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,19,no,0,6,8,5,11.4,1,0,6,7,4,10.75,0,12.7,3.7,-1.7,Enrolled
Single,14,1,Equiniculture,Day,Secondary education,Brazilian,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Skilled Workers in Agriculture, Fisheries, and Forestry",Armed Forces Professions,no,no,no,yes,female,no,19,yes,0,5,10,5,14.85714286,2,0,5,7,5,15.14285714,0,9.4,-0.8,-3.12,Enrolled
Single,1,1,Advertising and Marketing Management,Day,Secondary education,Portuguese,Complementary High School Course—not concluded,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Other Situation;,Intermediate Level Technicians and Professions,no,no,no,yes,female,no,19,no,0,6,7,6,14.71428571,0,0,6,6,6,15.83333333,0,12.4,0.5,1.79,Graduate
Single,6,1,Advertising and Marketing Management,Day,Secondary education,Santomean,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",no,yes,yes,yes,female,no,20,yes,0,6,6,6,13.5,0,0,6,9,5,13,0,8.9,1.4,3.51,Graduate
Single,9,1,Equiniculture,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,yes,18,no,0,5,7,4,11.5,0,0,5,5,5,12.4,0,10.8,1.4,1.74,Graduate
Single,4,1,Management,Day,Higher educationÑdegree,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,33,no,2,5,9,2,14,0,0,5,5,0,0,0,12.4,0.5,1.79,Dropout
Single,1,1,Basic Education,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,19,no,0,7,8,6,12.83333333,0,0,6,6,0,0,0,13.9,-0.3,0.79,Dropout
Single,8,2,Oral Hygiene,Day,Secondary education,Portuguese,General commerce course,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,no,yes,female,yes,18,no,0,7,7,7,13.42857143,0,0,8,8,8,14.75,0,15.5,2.8,-4.06,Graduate
Single,8,1,Communication Design,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Intermediate Level Technicians and Professions,Armed Forces Professions,no,no,no,yes,female,no,19,no,0,6,0,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,Dropout
Single,15,1,Agronomy,Day,Technological specialization course,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Personal Services, Security and SafetyWorkers, and Sellers",no,no,no,yes,female,no,19,no,0,6,18,3,11.66666667,0,0,6,14,4,11.5,0,15.5,2.8,-4.06,Enrolled
Single,1,3,Journalism and Communication,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,18,no,0,6,6,6,16,0,0,6,7,6,14.33333333,0,12.4,0.5,1.79,Graduate
Single,1,1,Social Service,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,yes,female,no,20,no,0,6,6,6,13.83333333,0,0,6,6,6,11.83333333,0,10.8,1.4,1.74,Graduate
Single,1,5,Nursing,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,no,19,no,0,8,9,8,13.2325,1,0,8,9,8,13.2325,1,9.4,-0.8,-3.12,Graduate
Single,1,2,Journalism and Communication,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,yes,no,no,yes,male,yes,18,no,0,6,6,6,14,0,0,6,6,6,14.16666667,0,9.4,-0.8,-3.12,Graduate
Single,8,2,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Administrative staff,"Personal Services, Security and SafetyWorkers, and Sellers",yes,no,yes,yes,male,yes,19,no,0,6,14,2,10,0,0,6,6,0,0,0,13.9,-0.3,0.79,Dropout
Single,14,1,Social Service (evening attendance),Evening ,Secondary education,Cape Verdean,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,Armed Forces Professions,yes,no,no,yes,female,no,25,yes,8,16,16,15,13.33333333,0,11,13,13,11,12.27272727,0,13.9,-0.3,0.79,Graduate
Single,8,3,Communication Design,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Intermediate Level Technicians and Professions,Unskilled Workers,yes,no,no,yes,female,yes,20,no,0,6,6,6,12.5,0,0,6,6,6,14.33333333,0,12.7,3.7,-1.7,Enrolled
Single,1,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,"Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,no,no,no,yes,female,no,19,no,0,6,6,6,12.5,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate
Single,8,1,Management (evening attendance),Evening ,Secondary education,Portuguese,Higher Education—master’s degree,Higher Education—master’s degree,Administrative staff,Administrative staff,yes,no,yes,yes,male,no,33,no,0,5,8,2,10.5,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
Single,9,4,Informatics Engineering,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,yes,no,yes,yes,male,no,18,no,0,5,11,3,10.66666667,0,0,5,9,3,11.33333333,0,8.9,1.4,3.51,Enrolled
Single,1,1,Informatics Engineering,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,male,no,18,no,0,5,9,4,10.5,0,0,5,11,2,10.5,3,7.6,2.6,0.32,Enrolled
